cdmall-app  |
cdmall-app  |  :: Spring Boot ::                (v3.3.5)
cdmall-app  |
cdmall-app  | 04:01:27.872 INFO  2689 --- [ background-preinit ] o.h.validator.internal.util.Version : HV000001: Hibernate Validator 8.0.1.Final
cdmall-app  | 04:01:28.065 INFO  2882 --- [ main ] com.demo.cdmall1.CdmallApplication : Starting CdmallApplication v0.0.1-SNAPSHOT using Java 21.0.10 with PID 1 (/app/app.jar started by root in /app)
cdmall-app  | 04:01:28.069 INFO  2886 --- [ main ] com.demo.cdmall1.CdmallApplication : No active profile set, falling back to 1 default profile: "default"
cdmall-app  | 04:01:31.882 INFO  6699 --- [ main ] o.s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
cdmall-app  | 04:01:32.354 INFO  7171 --- [ main ] o.s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 454 ms. Found 32 JPA repository interfaces.
cdmall-app  | 04:01:35.321 INFO  10138 --- [ main ] o.s.b.w.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8080 (http)
cdmall-app  | 04:01:35.350 INFO  10167 --- [ main ] o.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
cdmall-app  | 04:01:35.361 INFO  10178 --- [ main ] o.apache.catalina.core.StandardService : Starting service [Tomcat]
cdmall-app  | 04:01:35.362 INFO  10179 --- [ main ] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.31]
cdmall-app  | 04:01:35.451 INFO  10268 --- [ main ] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
cdmall-app  | 04:01:35.454 INFO  10271 --- [ main ] o.s.b.w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 7179 ms
cdmall-app  | 04:01:36.618 INFO  11435 --- [ main ] o.hibernate.jpa.internal.util.LogHelper : HHH000204: Processing PersistenceUnitInfo [name: default]
cdmall-app  | 04:01:36.746 INFO  11563 --- [ main ] org.hibernate.Version : HHH000412: Hibernate ORM core version 6.5.3.Final
cdmall-app  | 04:01:36.827 INFO  11644 --- [ main ] o.h.c.internal.RegionFactoryInitiator : HHH000026: Second-level cache disabled
cdmall-app  | 04:01:37.508 INFO  12325 --- [ main ] o.s.o.j.p.SpringPersistenceUnitInfo : No LoadTimeWeaver setup: ignoring JPA class transformer
cdmall-app  | 04:01:37.583 INFO  12400 --- [ main ] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting...
cdmall-app  | 04:01:38.456 INFO  13273 --- [ main ] com.zaxxer.hikari.pool.HikariPool : HikariPool-1 - Added connection oracle.jdbc.driver.T4CConnection@61288814
cdmall-app  | 04:01:38.462 INFO  13279 --- [ main ] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed.
cdmall-app  | 04:01:39.162 WARN  13979 --- [ main ] org.hibernate.orm.deprecation : HHH90000025: OracleDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
cdmall-app  | 04:01:42.077 WARN  16894 --- [ main ] org.hibernate.mapping.RootClass : HHH000038: Composite-id class does not override equals(): com.demo.cdmall1.domain.imageboard.entity.ImageBoardMemberId
cdmall-app  | 04:01:42.078 WARN  16895 --- [ main ] org.hibernate.mapping.RootClass : HHH000039: Composite-id class does not override hashCode(): com.demo.cdmall1.domain.imageboard.entity.ImageBoardMemberId
cdmall-app  | 04:01:42.080 WARN  16897 --- [ main ] org.hibernate.mapping.RootClass : HHH000038: Composite-id class does not override equals(): com.demo.cdmall1.domain.product.entity.OptionId
cdmall-app  | 04:01:42.080 WARN  16897 --- [ main ] org.hibernate.mapping.RootClass : HHH000039: Composite-id class does not override hashCode(): com.demo.cdmall1.domain.product.entity.OptionId
cdmall-app  | 04:01:42.082 WARN  16899 --- [ main ] org.hibernate.mapping.RootClass : HHH000038: Composite-id class does not override equals(): com.demo.cdmall1.domain.usedboard.entity.UsedBoardMemberId
cdmall-app  | 04:01:42.083 WARN  16900 --- [ main ] org.hibernate.mapping.RootClass : HHH000039: Composite-id class does not override hashCode(): com.demo.cdmall1.domain.usedboard.entity.UsedBoardMemberId
cdmall-app  | 04:01:42.084 WARN  16901 --- [ main ] org.hibernate.mapping.RootClass : HHH000038: Composite-id class does not override equals(): com.demo.cdmall1.domain.usedboard.entity.UsedAttachmentId
cdmall-app  | 04:01:42.085 WARN  16902 --- [ main ] org.hibernate.mapping.RootClass : HHH000039: Composite-id class does not override hashCode(): com.demo.cdmall1.domain.usedboard.entity.UsedAttachmentId
cdmall-app  | 04:01:42.087 WARN  16904 --- [ main ] org.hibernate.mapping.RootClass : HHH000038: Composite-id class does not override equals(): com.demo.cdmall1.domain.noticeboard.entity.NBAttachmentId
cdmall-app  | 04:01:42.087 WARN  16904 --- [ main ] org.hibernate.mapping.RootClass : HHH000039: Composite-id class does not override hashCode(): com.demo.cdmall1.domain.noticeboard.entity.NBAttachmentId
cdmall-app  | 04:01:42.088 WARN  16905 --- [ main ] org.hibernate.mapping.RootClass : HHH000038: Composite-id class does not override equals(): com.demo.cdmall1.domain.customercenter.entity.VAttachmentId
cdmall-app  | 04:01:42.088 WARN  16905 --- [ main ] org.hibernate.mapping.RootClass : HHH000039: Composite-id class does not override hashCode(): com.demo.cdmall1.domain.customercenter.entity.VAttachmentId
cdmall-app  | 04:01:42.089 WARN  16906 --- [ main ] org.hibernate.mapping.RootClass : HHH000038: Composite-id class does not override equals(): com.demo.cdmall1.domain.member.entity.PetId
cdmall-app  | 04:01:42.089 WARN  16906 --- [ main ] org.hibernate.mapping.RootClass : HHH000039: Composite-id class does not override hashCode(): com.demo.cdmall1.domain.member.entity.PetId
cdmall-app  | 04:01:42.090 WARN  16907 --- [ main ] org.hibernate.mapping.RootClass : HHH000038: Composite-id class does not override equals(): com.demo.cdmall1.domain.member.entity.AuthorityId
cdmall-app  | 04:01:42.090 WARN  16907 --- [ main ] org.hibernate.mapping.RootClass : HHH000039: Composite-id class does not override hashCode(): com.demo.cdmall1.domain.member.entity.AuthorityId
cdmall-app  | 04:01:42.092 WARN  16909 --- [ main ] org.hibernate.mapping.RootClass : HHH000038: Composite-id class does not override equals(): com.demo.cdmall1.domain.imageboard.entity.IBAttachmentId
cdmall-app  | 04:01:42.093 WARN  16910 --- [ main ] org.hibernate.mapping.RootClass : HHH000039: Composite-id class does not override hashCode(): com.demo.cdmall1.domain.imageboard.entity.IBAttachmentId
cdmall-app  | 04:01:42.096 WARN  16913 --- [ main ] org.hibernate.mapping.RootClass : HHH000038: Composite-id class does not override equals(): com.demo.cdmall1.domain.product.entity.ReviewId
cdmall-app  | 04:01:42.096 WARN  16913 --- [ main ] org.hibernate.mapping.RootClass : HHH000039: Composite-id class does not override hashCode(): com.demo.cdmall1.domain.product.entity.ReviewId
cdmall-app  | 04:01:42.096 WARN  16913 --- [ main ] org.hibernate.mapping.RootClass : HHH000038: Composite-id class does not override equals(): com.demo.cdmall1.domain.product.entity.ProductAttachmentId
cdmall-app  | 04:01:42.097 WARN  16914 --- [ main ] org.hibernate.mapping.RootClass : HHH000039: Composite-id class does not override hashCode(): com.demo.cdmall1.domain.product.entity.ProductAttachmentId
cdmall-app  | 04:01:42.099 WARN  16916 --- [ main ] org.hibernate.mapping.RootClass : HHH000038: Composite-id class does not override equals(): com.demo.cdmall1.domain.board.entity.AttachmentId
cdmall-app  | 04:01:42.099 WARN  16916 --- [ main ] org.hibernate.mapping.RootClass : HHH000039: Composite-id class does not override hashCode(): com.demo.cdmall1.domain.board.entity.AttachmentId
cdmall-app  | 04:01:42.099 WARN  16916 --- [ main ] org.hibernate.mapping.RootClass : HHH000038: Composite-id class does not override equals(): com.demo.cdmall1.domain.board.entity.BoardMemberId
cdmall-app  | 04:01:42.100 WARN  16917 --- [ main ] org.hibernate.mapping.RootClass : HHH000039: Composite-id class does not override hashCode(): com.demo.cdmall1.domain.board.entity.BoardMemberId
